celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,elimination_week,relative_progress,placement_percentile
Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,17,Eliminated Week 9,6,8,8,8,,8,9,8,,8,9,8,,9,9,9,,8,9,9,,10.6666,10.6666,10.6666,,9,9,9,,8,9,8,,9.5,9,9.5,,0,0,0,0,0,0,0,,9,0.8182,0.5833
Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,17,Eliminated Week 10,5,7,7,7,,8,8,8,,8,8,8,,8,8,8,,7,7,8,,9.3333,9.3333,9.3333,,9,8.5,9,,9,10,9,,9,9,9,,8,8,8,8.5,0,0,0,,10,0.9091,0.6667
Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,17,2nd Place,2,8,8,8,,9,8,9,,9,8,9,,9,9,9,,9,9,10,,9.3333,8.3333,9.3333,,10,9.5,10,,10,10,10,,9.5,9.5,10,,9.5,9,9.5,9.5,9.8888,9.8888,9.8888,,11,1,0.9167
Amber Riley,Derek Hough,Actor/Actress,California,United States,27,17,1st Place,1,9,9,9,,8,8,8,,8,8,8,,9,9,9,,9,7,10,,11.3333,9.3333,11.3333,,10,10,9.5,,9,9,10,,8.5,8.5,8.5,,10,10,9.5,10,10.4444,10.4444,10.4444,,11,1,1
Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,17,Eliminated Week 2,12,6,5,6,,6,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,2,0.1818,0.0833
Bill Engvall,Emma Slater,Comedian,Texas,United States,56,17,Eliminated Week 11,4,6,6,6,,7,7,7,,8,8,8,,7,7,7,,8,8,8,,8.3333,8.3333,7.3333,,8.5,8,8.5,,8,8,8,,7,7,7,,7.5,7.5,7.5,7.5,8.3333,8.8333,8.3333,,11,1,0.75
Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,17,Eliminated Week 5,9,7,7,8,,9,8,8,,9,8,9,,8,8,8,,9,10,9,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,5,0.4545,0.3333
"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,17,Eliminated Week 7,8,8,8,7,,6,7,7,,9,8,8,,8,8,8,,9,9,9,,10,10,10,,9,9,9,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,7,0.6364,0.4167
Jack Osbourne,Cheryl Burke,TV Personality,,England,27,17,3rd Place,3,8,8,7,,8,8,8,,7,7,8,,8,8,8,,9,9,9,,8.6666,9.6666,8.6666,,10,9,9.5,,10,10,10,,9,9,9,,9,8.5,9,9,9.3333,9.3333,9.3333,,11,1,0.8333
Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,17,Eliminated Week 3,11,5,4,5,,6,5,6,,6,5,5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,3,0.2727,0.1667
Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,18,Withdrew,10,5,5,5,,5,5,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,0.2,0.25
Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,18,Eliminated Week 8,6,8,8,8,,8,8,8,,9,9,9,9,8,8,8,8,10,9,10,10,9,9,9,9,9,9.5,8.5,9,10,9,9,10,0,0,0,0,0,0,0,,,,,,8,0.8,0.5833
James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,18,Eliminated Week 10,4,7,7,7,,9,8,8,,9,9,9,9,9,8,9,9,10,10,10,10,9,9,8,9,8.5,9.5,8,9,8,9,10,9,9.5,9.5,9.5,9.5,9.5,9.5,10,,,,,,10,1,0.75
Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,18,3rd Place,3,9,8,8,,7,7,7,,8,8,8,8,7,7,7,7,8,9,9,9,8,8,8,8,9,9.5,9,9.5,9,9,9,9,8.5,9.5,9.5,8.5,8.6666,8.6666,8.6666,,,,,,10,1,0.8333
Sean Avery,Karina Smirnoff,Athlete,,Canada,33,18,Eliminated Week 2,11,7,6,7,,7,7,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,0.2,0.1667
Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,18,Eliminated Week 2,12,6,6,6,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0.1,0.0833
Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,18,Eliminated Week 9,5,9,9,9,,9,7,9,,9,9,9,9,7,8,9,9,9,10,9,9,9,9,9,9,8.5,10,8,9,10,10,10,10,9.5,9.5,9.5,9.5,0,0,0,,,,,,9,0.9,0.6667
Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,18,2nd Place,2,8,8,8,,8,8,8,,9,9,9,9,9,8,8,9,9,9,10,9,9,10,9,10,9.5,9.5,9,9.5,10,10,10,10,9.5,9.5,10,10,10,9.6666,10,,,,,,10,1,0.9167
Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,18,1st Place,1,8,8,8,,8,9,8,,10,9,10,10,10,9,10,10,9,9,9,9,10,10,10,10,10,10,9,10,9,9,8,10,10,10,10,10,10,10,10,,,,,,10,1,1
Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,18,Eliminated Week 6,8,7,7,7,,7,7,7,,7,7,8,8,8,8,9,8,7,7,7,7,8,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,6,0.6,0.4167
Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,18,Eliminated Week 5,9,7,7,8,,7,7,8,,9,8,9,9,8,7,8,8,9,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5,0.5,0.3333
NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,18,Eliminated Week 7,7,7,7,7,,7,7,7,,8,7,8,8,8,8,8,8,9,9,9,9,8,9,8,8,8,9,7.5,8.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,7,0.7,0.5
Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,,Italy,42,19,Eliminated Week 7,8,6,6,6,7,8,7,8,8,7,7,7,8,7,7,7,8,8,6,7,7,7,7,7,7,7,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.6364,0.4615
Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,19,Eliminated Week 6,9,8,7,7,8,7,7,8,8,8,8,8,8,6,6,6,6,6,6,6,6,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5455,0.3846
Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,19,Eliminated Week 9,6,8,8,8,8,9,8,9,9,7,8,8,8,10,10,10,9,9,8,8,9,8,8,8,8,8.5,8.5,9,9,8,8,8,8,8.5,9,8.5,9,0,0,0,0,0,0,0,0,9,0.8182,0.6154
Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,19,3rd Place,3,7,7,7,8,9,8,8,9,10,10,10,10,9,9,9,9,8,8,8,9,8,7,9,9,8.5,8,8.5,8.5,10.75,10.75,10.75,10.75,9.5,9.5,10,9.5,9.5,9.5,10,10,9.6666,10,9.6666,9.6666,11,1,0.8462
Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,19,1st Place,1,9,9,9,9,8,8,8,8,8,8,8,8,10,10,10,10,8,9,9,8,10,10,9,10,8.5,8.5,8.5,8.5,10.75,9.75,9.75,10.75,9.5,9.5,9.5,10,9.5,9,9.5,9.5,10,10,10,10,11,1,1
Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,19,Eliminated Week 1,13,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0909,0.0769
Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,19,Eliminated Week 3,11,8,7,8,8,7,7,7,7,7,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2727,0.2308
Tommy Chong,Peta Murgatroyd,Comedian,,Canada,76,19,Eliminated Week 10,5,7,6,7,7,7,7,7,7,8,10,8,8,7,7,7,7,6,6,5,6,7,7,7,7,7.5,7.5,7.5,7.5,6.75,7.75,7.75,6.75,7,7.5,7,7,8,7.5,8,7.5,0,0,0,0,10,0.9091,0.6923
Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,19,Eliminated Week 4,10,5,5,5,5,7,7,7,7,7,9,6,7,8,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3636,0.3077
Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,19,Eliminated Week 8,7,7,6,6,6,6,6,6,6,7,7,7,7,6,6,6,7,5,5,5,5,8,7,8,7,7,7,7,7,6,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0.7273,0.5385
Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,19,Eliminated Week 2,12,7,7,8,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1818,0.1538
Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,19,Eliminated Week 11,4,8,8,8,8,8,9,8,8,10,10,10,10,8,8,8,9,8,8,8,8,9,9,9,9,9.5,9,9.5,9.5,9.75,9.75,9.75,10.75,9,9.5,9.5,9,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,11,1,0.7692
Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,19,2nd Place,2,8,8,9,9,8,7,8,8,8,8,8,8,9,10,9,9,9,9,9,9,9,10,8,8,7.5,7.5,8,8,9,9,10,10,9,9.5,9,9,9,9.5,9.5,9,10,9.6666,10,9.6666,11,1,0.9231
Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,20,Eliminated Week 5,9,6,6,6,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,0.5,0.3333
Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,20,Eliminated Week 7,7,6,6,6,7,8,8,8,8,8,8,8,8,10,9,10,10,8,8,9,9,9.5,8.5,9,9.5,9.5,9.5,9.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7,0.7,0.5
Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,20,2nd Place,2,8,7,8,8,8,8,8,8,9,7,9,9,8,8,9,9,10,9,9,10,10,8.5,9.5,10,9,10,9,9,10,9,10,10,10,10,10,10,10,10,10,10,,,,,10,1,0.9167
Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,20,1st Place,1,8,8,8,8,8,8,8,8,8,9,8,8,9,8,9,9,10,9,10,10,9,8.5,8.5,9.5,8.5,9.5,9.5,9.5,10,10,10,10,10,9.5,9.5,10,10,10,10,10,,,,,10,1,1
Nastia Liukin,Derek Hough,Athlete,,Russia,25,20,Eliminated Week 9,4,7,7,8,8,9,8,8,9,9,8,9,8,9,8,9,10,9,9,10,10,9.5,8.5,9,9.5,10.75,9.75,9.75,10.75,9.5,9.5,9.5,9.5,10,10,10,10,0,0,0,0,,,,,9,0.9,0.75
Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,20,Eliminated Week 4,10,6,6,7,7,7,7,7,7,6,6,6,6,7,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,0.4,0.25
Robert Herjavec,Kym Johnson,Entrepreneur,,Croatia,52,20,Eliminated Week 8,6,7,7,7,7,7,7,7,7,7,7,8,7,8,9,8,9,6,6,6,6,8.5,8,8.5,8.5,7,8,8,8,7.5,7.5,8.5,7.5,0,0,0,0,0,0,0,0,,,,,8,0.8,0.5833
Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,20,Eliminated Week 3,11,6,5,5,6,7,6,7,6,6,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,0.3,0.1667
Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,20,3rd Place,3,7,6,6,7,7,6,7,7,7,7,8,8,8,8,8,8,7,7,7,7,8.5,8,8.5,9,10.5,8.5,9.5,9.5,8,7.5,8,8,9.5,9.5,9.5,9.5,9,9,9,9,,,,,10,1,0.8333
Redfoo,Emma Slater,Singer/Rapper,California,United States,39,20,Eliminated Week 2,12,6,5,5,6,8,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,0.2,0.0833
Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,20,Eliminated Week 6,8,7,6,6,6,7,7,7,7,6,5,5,6,8,7,7,8,7,6,7,7,9,8,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,6,0.6,0.4167
Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,20,Eliminated Week 8,5,7,6,6,7,5,6,5,5,7,7,7,7,7,6,7,7,7,6,7,7,9,8,9,9,8,7,8,8,8,7.5,8.5,8,0,0,0,0,0,0,0,0,,,,,8,0.8,0.6667
Gary Busey,Anna Trebunskaya,Actor/Actress,Texas,United States,71,21,Eliminated Week 4,10,5,5,5,,5.5,5.5,5.5,,6,7,6,6,5,6,5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,4,0.3636,0.3077
Alexa PenaVega,Mark Ballas,Actor/Actress,Florida,United States,27,21,Eliminated Week 9,6,7,7,8,,7.5,7.5,8,,9,9,9,9,7,7,7,,10,10,10,10,8,7,7,8,9,9.5,9,,9.6666,8.6666,8.6666,,10,10,10,,0,0,0,,0,0,0,,9,0.8182,0.6154
Carlos PenaVega,Witney Carson,Actor/Actress,Missouri,United States,26,21,Eliminated Week 11,4,8,8,7,,7.5,7.5,7.5,,7,8,8,8,9,8,8,,10,10,9,10,10,9,9,10,9,10,9,,9.6666,9.6666,9.6666,,9,9,9,,10,10.5,11,,10,10,10,,11,1,0.7692
Victor Espinoza,Karina Smirnoff,Athlete,,Mexico,43,21,Eliminated Week 2,12,5,5,5,,6.5,5.5,6.5,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0.1818,0.1538
Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,21,3rd Place,3,8,7,7,,7.5,7,8,,8,8,9,8,8,8,8,,8,7,7,7,8,8,7,7,9,9,8.5,,9,8,8,,8.5,8.5,8.5,,9.5,9.5,9.5,,9.3333,9.3333,9.3333,,11,1,0.8462
Chaka Khan,Keo Motsepe,Singer/Rapper,Illinois,United States,62,21,Eliminated Week 2,13,5,4,4,,5,5,5,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0.1818,0.0769
Andy Grammer,Allison Holker,Singer/Rapper,California,United States,31,21,Eliminated Week 8,7,7,7,7,,7.5,7.5,7,,7,7,8,7,7,8,8,,9,9,9,9,10,10,10,10,9.5,9.5,9,,8.6666,7.6666,7.6666,,0,0,0,,0,0,0,,0,0,0,,8,0.7273,0.5385
Tamar Braxton,Valentin Chmerkovskiy,Singer/Rapper,Maryland,United States,38,21,Withdrew,5,8,7,8,,8,8,8.5,,8,9,8,8,9,9,9,,7,7,8,7,10,10,10,10,9,9,9,,9,9,10,,8.5,8,8,,0,0,0,,0,0,0,,9,0.8182,0.6923
Nick Carter,Sharna Burgess,Singer/Rapper,New York,United States,35,21,2nd Place,2,8,8,8,,7.5,7.5,7.5,,9,9,9,9,9,9,9,,9,9,8,9,9,10,10,10,9,9,9,,11,11,11,,9,9,9.5,,9,9,9,,10,10,10,,11,1,0.9231
Hayes Grier,Emma Slater,Social Media Personality,North Carolina,United States,15,21,Eliminated Week 7,8,7,7,7,,8,7,7.5,,7,8,7,8,9,9,9,,8,8,7,7,8,8,8,8,9,9.5,9.5,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,7,0.6364,0.4615
Bindi Irwin,Derek Hough,TV Personality,,Australia,17,21,1st Place,1,8,8,8,,8,8,8,,8,8,8,8,9,9,10,,9,9,10,9,10,10,10,10,9.5,10,9.5,,10,9,9,,10,10,10,,10.5,10.5,10.5,,10,10,10,,11,1,1
Kim Zolciak-Biermann,Tony Dovolani,TV Personality,Florida,United States,37,21,Withdrew,11,4,4,4,,6.5,6,6,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,0.1818,0.2308
Paula Deen,Louis van Amstel,TV Personality,Georgia,United States,68,21,Eliminated Week 6,9,5,5,5,,6.5,6,6,,5,5,5,5,6,6,6,,7,7,6,6,6,6,6,6,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,6,0.5455,0.3846
Mischa Barton,Artem Chigvintsev,Actor/Actress,,England,30,22,Eliminated Week 3,11,5,5,6,,5,5,5,,6,6,6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,3,0.3,0.1667
Kim Fields,Sasha Farber,Actor/Actress,New York,United States,46,22,Eliminated Week 7,8,7,6,7,,7,6,6,,8,7,7,,8,8,8,8,8,6,6,8,8,8,8,,8.5,8.5,9,,0,0,0,,0,0,0,,0,0,0,,,,,,7,0.7,0.4167
Jodie Sweetin,Keo Motsepe,Actor/Actress,California,United States,34,22,Eliminated Week 8,6,7,6,7,,7,7,7,,8,7,8,,7,6,7,7,9,8,9,9,9,8,8,,8,8.5,9,,10,10,10,,0,0,0,,0,0,0,,,,,,8,0.8,0.5833
Doug Flutie,Karina Smirnoff,Athlete,Maryland,United States,53,22,Eliminated Week 6,9,5,5,5,,7,6,7,,7,6,7,,6,6,6,6,7,7,7,7,7,7,7,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,6,0.6,0.3333
Von Miller,Witney Carson,Athlete,Texas,United States,27,22,Eliminated Week 7,7,8,6,7,,7,6,7,,7,6,7,,8,8,8,8,8,7,7,7,8,8,8,,8.5,8.5,9,,0,0,0,,0,0,0,,0,0,0,,,,,,7,0.7,0.5
Antonio Brown,Sharna Burgess,Athlete,Florida,United States,27,22,Eliminated Week 9,5,8,6,7,,6,6,7,,7,6,7,,9,8,9,9,7,6,6,7,9,9,9,,8.5,8.5,9,,9,9,9,,9,9,9.5,,0,0,0,,,,,,9,0.9,0.6667
Paige VanZant,Mark Ballas,Athlete,Oregon,United States,22,22,2nd Place,2,7,7,7,,8,8,8,,8,7,8,,9,9,9,9,8,8,7,8,9,10,9,,9,9,9.5,,10,9,9,,10,9.5,10,,10,9.6666,10,,,,,,10,1,0.9167
Geraldo Rivera,Edyta Sliwinska,Journalist,New York,United States,72,22,Eliminated Week 2,12,5,4,4,,5,4,4,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,2,0.2,0.0833
Nyle DiMarco,Peta Murgatroyd,Model,New York,United States,26,22,1st Place,1,8,7,8,,7,6,7,,8,8,9,,8,8,9,9,9,10,9,9,8,8,9,,9.5,9,9.5,,10,9,10,,9.5,9.5,9.5,,9.6666,9.6666,9.6666,,,,,,10,1,1
Ginger Zee,Valentin Chmerkovskiy,News Anchor,California,United States,35,22,3rd Place,3,8,7,8,,7,7,7,,7,7,7,,9,9,9,9,8,8,8,8,8,8,8,,9,9,9.5,,10,10,10,,9,9.5,9.5,,9.3333,9.6666,9.3333,,,,,,10,1,0.8333
Wanya Morris,Lindsay Arnold,Singer/Rapper,Pennsylvania,United States,42,22,Eliminated Week 9,4,8,7,8,,8,8,8,,8,8,8,,8,9,9,9,8,7,7,8,10,9,10,,9,9,9.5,,8,8,9,,10,10,10,,0,0,0,,,,,,9,0.9,0.75
Marla Maples,Tony Dovolani,TV Personality,Georgia,United States,52,22,Eliminated Week 4,10,7,7,7,,7,6,7,,7,7,7,,7,7,7,7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,4,0.4,0.25
Jake T. Austin,Jenna Johnson,Actor/Actress,New York,United States,21,23,Eliminated Week 2,13,5,6,5,6,6,6,6,6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,2,0.1818,0.0769
Maureen McCormick,Artem Chigvintsev,Actor/Actress,California,United States,60,23,Eliminated Week 7,8,6,5,5,6,7,6,6,7,7,7,7,7,8,8,8,,8,8,8,,8,7,8,8,8.5,8,8,8.5,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,7,0.6364,0.4615
Marilu Henner,Derek Hough,Actor/Actress,Illinois,United States,64,23,Eliminated Week 9,6,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,,9,9,9,,8,9,9,8,7.5,8,8.5,8,7,8,8,,9,9,9,9,0,0,0,,0,0,0,0,9,0.8182,0.6154
Ryan Lochte,Cheryl Burke,Athlete,New York,United States,32,23,Eliminated Week 8,7,6,6,6,6,6,6,6,6,6,7,6,6,7,7,8,,8,8,8,,7,8,8,7,8.5,8,8,8.5,8,9,9,,0,0,0,0,0,0,0,,0,0,0,0,8,0.7273,0.5385
Calvin Johnson Jr.,Lindsay Arnold,Athlete,Georgia,United States,30,23,3rd Place,3,7,6,6,7,7,7,7,7,8,8,8,8,8,7,8,,8,8,8,,9,10,9,9,9.5,9,9,9.5,10,10,10,,9,9,10,9,9,9.5,9.5,,9.3333,9.6666,9.6666,9.6666,11,1,0.8462
Laurie Hernandez,Valentin Chmerkovskiy,Athlete,New Jersey,United States,16,23,1st Place,1,8,8,7,8,8,8,8,8,7,8,8,8,10,10,10,,8,9,8,,9,9,9,10,8,8.5,9,9,11,11,11,,10,10,10,10,10,10,10,,9.6666,10,9.6666,10,11,1,1
Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,23,Eliminated Week 6,9,6,6,6,6,6,6,6,6,7,6,6,6,8,8,8,,8,8,8,,7,7,7,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,6,0.5455,0.3846
Rick Perry,Emma Slater,Politician,Texas,United States,66,23,Eliminated Week 3,12,5,5,5,5,6,5,6,5,6,5,6,6,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,3,0.2727,0.1538
James Hinchcliffe,Sharna Burgess,Racing Driver,,Canada,29,23,2nd Place,2,8,8,7,8,7,7,7,8,7,7,8,7,9,9,10,,10,9,10,,10,9,9,10,9.5,9,9,9.5,11.6666,11.6666,11.6666,,9,9,9,9,9.5,10,10,,9.6666,9.6666,9.6666,10,11,1,0.9231
Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,23,Eliminated Week 4,11,7,6,6,7,8,7,7,8,7,6,6,6,6,6,6,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,4,0.3636,0.2308
Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,23,Eliminated Week 4,10,7,5,6,7,6,7,6,7,6,6,5,6,8,7,8,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,4,0.3636,0.3077
Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,23,Eliminated Week 11,4,7,6,6,8,7,8,7,7,6,7,6,7,8,7,8,,9,8,9,,10,10,10,10,8,8.5,9,9,10,10,10,,10,10,10,10,9.5,9.5,10,,8.5,9,9,9,11,1,0.7692
Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,23,Eliminated Week 10,5,7,6,6,6,8,7,8,8,8,7,8,7,9,8,8,,9,9,9,,7,8,8,7,8.5,8.5,9,8.5,8,8,8,,10,10,9,9,10,10,10,,0,0,0,0,10,0.9091,0.6923
Charo,Keo Motsepe,Actor/Actress,,Spain,66,24,Eliminated Week 3,11,6,5,5,5,6,6,7,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,0.3,0.1667
Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,24,Eliminated Week 4,10,5,5,5,5,6,5,6,5,6,6,6,6,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,0.4,0.25
Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,24,Eliminated Week 6,8,7,7,7,7,8,6,8,8,9,8,8,8,8,9,9,9,8,8,9,9,9,9.5,9,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,6,0.6,0.4167
Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,24,Eliminated Week 7,7,7,7,7,7,7,7,7,7,8,9,8,8,8,9,8,8,9,9,9,9,8.5,8.5,8,8.5,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7,0.7,0.5
Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,24,Eliminated Week 8,5,6,5,5,6,8,5,8,7,6,6,6,6,8,8,8,8,7,8,8,7,8,8.5,7.5,7.5,7.5,7.5,8.5,7.5,7.5,7,7.5,7,0,0,0,0,0,0,0,0,,,,,8,0.8,0.6667
Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,24,Eliminated Week 9,4,8,8,8,8,7,7,7,8,7,8,9,8,9,9,9,9,9,9,10,10,8.5,8.5,8.5,9,10.5,9.5,9.5,9.5,9,9,9,9,10,10,10,10,0,0,0,0,,,,,9,0.9,0.75
